system:index,dsnr,dur,mag,preval,rate,yod,.geo
17580,4.816647529602051,1.0,240.65867614746094,700.343994140625,240.65867614746094,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.18475153104222,14.632756892340451]}"
17581,2.742579698562622,2.0,275.39300537109375,511.7965087890625,137.69650268554688,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.46166938454448,13.84981059042824]}"
17582,5.164705753326416,2.0,385.5516357421875,669.7567749023438,192.77581787109375,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.35775968907646,12.868517323565372]}"
17583,12.290667533874512,1.0,284.17755126953125,620.9075317382812,284.17755126953125,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.90969177117907,12.129307000926014]}"
17584,7.822620868682861,1.0,633.9783325195312,764.3689575195312,633.9783325195312,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.37052573410813,17.698232800527684]}"
17585,2.5249292850494385,2.0,449.3926086425781,613.221923828125,224.69630432128906,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.50960338598806,16.746226677153448]}"
17586,4.976429462432861,1.0,298.4674987792969,706.0047607421875,298.4674987792969,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.99398167869164,14.795455837197617]}"
17587,2.438143253326416,2.0,276.1480712890625,432.0516357421875,138.07403564453125,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.74159185251247,16.811858988075475]}"
17588,3.4732110500335693,2.0,285.32073974609375,564.309326171875,142.66036987304688,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09112148772103,14.173205047603593]}"
17589,2.6417765617370605,2.0,263.9751281738281,517.4074096679688,131.98756408691406,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.89990741733146,16.68227550997608]}"
17590,0.0,1.0,419.2421569824219,844.4231567382812,419.2421569824219,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.41026197034411,14.656484006660559]}"
17591,4.037479400634766,2.0,221.5330352783203,632.2506103515625,110.76651763916016,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.01473012803777,14.338503124377917]}"
17592,6.044344425201416,2.0,446.76409912109375,637.2852172851562,223.38204956054688,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.54078202425109,16.720130638061807]}"
17593,3.008554220199585,2.0,206.62899780273438,805.1849365234375,103.31449890136719,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.10293789656033,12.959205423793408]}"
17594,4.560641765594482,1.0,321.096923828125,565.6838989257812,321.096923828125,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.91307576388397,14.584062938116151]}"
17595,3.1933507919311523,2.0,347.4996032714844,556.4443969726562,173.7498016357422,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.59347909865288,15.897777955401583]}"
17596,3.999345541000366,2.0,405.3146667480469,675.2595825195312,202.65733337402344,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.40654252787331,17.036622200874294]}"
17597,6.2656569480896,1.0,481.4601135253906,764.47900390625,481.4601135253906,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.16723458269703,14.299038497388931]}"
17598,8.868743896484375,2.0,310.679931640625,559.250244140625,155.3399658203125,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.19356521442432,14.886322522534398]}"
17599,1.8744269609451294,2.0,332.6834411621094,564.7257080078125,166.3417205810547,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3329430198359,14.900640019958223]}"
17600,3.8702645301818848,2.0,327.914794921875,486.3853454589844,163.9573974609375,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.1475647203182,17.221348821603247]}"
17601,4.414296627044678,1.0,237.88803100585938,544.8750610351562,237.88803100585938,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.54947513187498,14.385487166076581]}"
17602,2.475625514984131,2.0,302.7367858886719,435.93157958984375,151.36839294433594,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.35528519948025,16.956883932833694]}"
17603,2.394040822982788,1.0,347.63397216796875,789.767333984375,347.63397216796875,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.9701767196044,12.612913206777982]}"
17604,12.569992065429688,1.0,342.4309997558594,709.9492797851562,342.4309997558594,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.8431124842225,14.514662357499827]}"
17605,14.877942085266113,1.0,532.92529296875,771.4451293945312,532.92529296875,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.25640029294205,12.479082361776545]}"
17606,14.339900016784668,1.0,393.7131042480469,680.7210083007812,393.7131042480469,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.28567233816648,14.892950196367586]}"
17607,3.4375431537628174,2.0,276.6347351074219,422.9971923828125,138.31736755371094,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.81318571706221,14.942504517791992]}"
17608,3.6650047302246094,2.0,381.2687072753906,614.348388671875,190.6343536376953,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.14817011761846,14.28621991722777]}"
17609,9.864416122436523,1.0,254.36923217773438,683.091796875,254.36923217773438,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.13180296401195,14.792793944461637]}"
17610,6.025782585144043,1.0,436.2589416503906,835.614501953125,436.2589416503906,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.76411290503242,13.833750592676726]}"
17611,15.3895902633667,1.0,380.55975341796875,815.654052734375,380.55975341796875,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.41253027058191,14.569185593825509]}"
17612,4.177241325378418,1.0,333.2104187011719,554.836669921875,333.2104187011719,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.43058110972281,14.763509776135708]}"
17613,3.561619997024536,1.0,236.4159393310547,838.0318603515625,236.4159393310547,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.53757177344045,13.750673222626018]}"
17614,4.693102836608887,2.0,580.0230102539062,702.7523193359375,290.0115051269531,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.42090503519634,14.92349043555352]}"
17615,6.159865379333496,2.0,548.9122314453125,764.6383056640625,274.45611572265625,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.30435851627705,14.644098968232427]}"
17616,2.6775407791137695,1.0,323.4658203125,506.0235900878906,323.4658203125,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.17775049966188,16.68788115567848]}"
17617,5.6489739418029785,1.0,380.1548156738281,795.2445068359375,380.1548156738281,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.53677390670445,14.252718342731422]}"
17618,17.29550552368164,1.0,771.16259765625,784.5438842773438,771.16259765625,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.74930296000754,13.818952032785665]}"
17619,3.0022900104522705,1.0,214.20333862304688,797.2612915039062,214.20333862304688,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.94721411587247,14.920998788164638]}"
17620,3.301025390625,1.0,370.42364501953125,631.0794067382812,370.42364501953125,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.31780574847791,17.7015659026659]}"
17621,3.452238082885742,1.0,306.8394775390625,476.7433776855469,306.8394775390625,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.30765925747049,14.87421884597924]}"
17622,2.136603593826294,1.0,234.28952026367188,730.0031127929688,234.28952026367188,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.14129879966647,14.33111475899867]}"
17623,3.250542402267456,2.0,329.39947509765625,500.8348388671875,164.69973754882812,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.51948147823119,15.266552683269545]}"
17624,12.41076374053955,1.0,417.3958435058594,854.8063354492188,417.3958435058594,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.85034450881444,15.47632623644308]}"
17625,4.598282337188721,1.0,491.2195739746094,544.4859008789062,491.2195739746094,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.37947447561052,14.573284695633193]}"
17626,7.096610069274902,1.0,316.0138854980469,793.0537109375,316.0138854980469,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.90272332136324,15.218112602027794]}"
